Event,Field,Star No,RA (J2000),Dec (J2000),Tmax (HJD),Tmax (UT),tau,Umin,Amax,Dmag,fbl,Ibl,I0,RA_deg,Dec_deg
2012-BLG-0555,BLG675.06,105236,17:39:19.57,-27:52:49.3,2456062.837,2012-05-15.34,20.071,0.767,1.575,0.493,1.0,17.392,17.392,264.8315416666666,-27.88036111111111
2012-BLG-0556,BLG675.13,103716,17:40:00.61,-27:29:05.3,2456050.963,2012-05-03.46,11.326,0.745,1.607,0.515,1.0,16.592,16.592,265.0025416666667,-27.484805555555557
2012-BLG-0557,BLG500.10,123127,17:53:16.18,-28:46:26.8,2456094.774,2012-06-16.27,41.445,1.713,1.094,0.097,1.0,16.78,16.78,268.3174166666666,-28.77411111111111
2012-BLG-0558,BLG505.03,160832,17:58:11.16,-29:35:06.9,2456050.997,2012-05-03.50,6.089,0.652,1.767,0.618,0.391,16.45,17.47,269.5464999999999,-29.58525
2012-BLG-0559,BLG506.18,86670,17:59:40.16,-30:10:45.2,2456064.755,2012-05-17.25,20.987,0.229,4.444,1.619,0.667,18.961,19.4,269.9173333333333,-30.179222222222222
2012-BLG-0560,BLG512.10,95128,18:04:39.90,-28:42:02.6,2456054.265,2012-05-06.76,9.081,0.303,3.413,1.333,0.419,18.394,19.339,271.16624999999993,-28.700722222222222
2012-BLG-0561,BLG518.03,1887,18:09:21.79,-27:21:59.1,2456048.875,2012-05-01.38,1.896,0.739,1.615,0.521,1.0,18.483,18.483,272.34079166666663,-27.36641666666667
2012-BLG-0562,BLG519.21,144733,18:08:14.86,-27:58:00.7,2456056.285,2012-05-08.79,20.912,0.028,35.478,3.875,0.274,18.686,20.091,272.06191666666666,-27.96686111111111
2012-BLG-0563,BLG519.25,39795,18:05:57.72,-27:42:43.2,2456068.999,2012-05-21.50,42.736,0.003,341.5,6.334,0.482,18.654,19.446,271.49049999999994,-27.712
2012-BLG-0564,BLG519.25,110280,18:05:36.20,-27:52:28.7,2456074.843,2012-05-27.34,31.368,0.623,1.83,0.656,1.0,17.908,17.908,271.4008333333333,-27.87463888888889
2012-BLG-0565,BLG520.09,6859,18:11:03.61,-29:29:12.4,2456049.344,2012-05-01.84,31.449,0.127,7.902,2.244,0.436,19.581,20.482,272.76504166666666,-29.486777777777778
2012-BLG-0566,BLG520.22,21671,18:08:13.00,-29:04:50.7,2456046.171,2012-04-28.67,6.283,0.49,2.222,0.867,1.0,19.638,19.638,272.0541666666667,-29.08075
2012-BLG-0567,BLG603.04,125618,17:45:44.13,-34:28:40.4,2456066.842,2012-05-19.34,110.389,0.105,9.531,2.448,0.336,19.186,20.369,266.43387499999994,-34.47788888888889
2012-BLG-0568,BLG611.19,69831,17:37:02.11,-26:56:35.2,2456085.515,2012-06-07.01,22.674,0.729,1.632,0.531,1.0,17.376,17.376,264.25879166666664,-26.94311111111111
2012-BLG-0569,BLG654.22,760,17:35:09.69,-29:48:57.3,2456055.547,2012-05-08.05,52.718,0.573,1.953,0.726,1.0,19.289,19.289,263.790375,-29.815916666666666
2012-BLG-0570,BLG500.05,33444,17:51:18.04,-29:12:39.7,2456064.003,2012-05-16.50,11.142,0.09,11.123,2.616,0.894,18.257,18.378,267.8251666666667,-29.211027777777776
2012-BLG-0571,BLG500.17,15392,17:55:00.80,-28:27:58.1,2456048.816,2012-05-01.32,0.073,1.782,1.084,0.088,1.0,16.57,16.57,268.75333333333333,-28.46613888888889
