HJD,flux,cor_flux,flux_err,obsID,JD,fwhm,sky,airmass,nstar,scale,exptime,skydiff,chisq,npix,airmass1,ang1,included
6484.0213,8851.070312,2951.306302,1151.628418,42220,6484.015922,1.95213,1906.19,1.04403,147,0.843666,60,7.8052,1304.16,193,1.0497,-0.2708,True
6484.05672,9597.476562,1547.676188,959.578369,42223,6484.051336,2.14563,1997.45,1.10609,118,0.842142,60,1.8471,501.76584,193,1.1155,-0.4496,True
6484.0896,10638.726562,1428.389016,1090.390015,42226,6484.084223,2.10112,1986.08,1.20199,122,0.833196,60,0.4252,572.328,193,1.2173,-0.6064,True
6484.12247,13025.265625,,1834.454834,42229,6484.117094,2.04106,2070.85,1.34988,129,0.832188,60,2.8387,2831.278,193,,,False
6484.12365,12663.96875,1995.999054,1274.092529,42230,6484.118269,1.99929,2056.7,1.35852,136,0.831544,60,-1.1801,1413.4177,193,1.3808,-0.7583,True
6484.13773,13798.509766,1926.28067,1180.472656,42231,6484.132356,2.02196,2307.44,1.44479,131,0.826198,60,-6.692,726.81177,193,1.4725,-0.8181,True
6484.15771,14142.083008,338.32843,1248.557983,42232,6484.152331,2.04029,2549.26,1.59938,129,0.821483,60,-10.0974,823.7963,193,1.6358,-0.9002,True
6484.17532,18126.527344,1878.993868,1970.735352,42234,6484.169945,2.1431,2727.16,1.77454,119,0.809154,60,-16.6077,1381.6874,193,1.8231,-0.9703,True
6484.192,21510.697266,2560.555029,1846.687866,42236,6484.186628,2.27766,2859.78,1.98799,103,0.803294,60,-19.9486,1247.776,193,2.0528,-1.0349,True
6484.20256,22656.783203,1857.885421,2380.990479,42237,6484.197186,2.32544,2789.96,2.15127,103,0.79756,60,-11.8511,1510.4712,193,2.2337,-1.0752,True
6484.21432,22259.892578,,2286.804443,42238,6484.208951,2.31635,2780.22,2.37509,102,0.793468,60,-11.8468,2008.8884,193,,,False
6484.22724,22051.208984,-4451.36394,2262.138184,42239,6484.221871,2.36985,2724.34,2.69275,108,0.779676,60,-19.5191,1167.8008,193,2.8198,-1.1677,True
6484.23546,26687.208984,,2928.598389,42240,6484.230084,2.36781,2795.54,2.9238,98,0.774327,60,-12.9999,2484.896,193,,,False
6484.23664,27043.367188,,2867.210693,42241,6484.231262,2.32024,2804.23,2.96652,98,0.770409,60,-13.1627,2078.4082,193,,,False
