Event,Field,Star No,RA (J2000),Dec (J2000),Tmax (HJD),Tmax (UT),tau,Umin,Amax,Dmag,fbl,Ibl,I0,RA_deg,Dec_deg
2008-BLG-187,BLG242.7,147698,18:07:46.33,-26:32:41.0,2454574.898,2008-04-18.40,3.502,0.182,5.556,1.862,1.0,19.547,19.547,271.94304166666666,-26.544722222222223
2008-BLG-188,BLG149.2,141059,17:55:30.89,-33:03:23.1,2454572.859,2008-04-16.36,5.291,0.024,42.054,4.060,0.38,19.47,20.522,268.8787083333333,-33.056416666666664
2008-BLG-189,BLG155.3,55641,17:52:57.47,-32:21:31.4,2454587.161,2008-04-30.66,16.042,1.612,1.111,0.114,1.0,16.641,16.641,268.23945833333335,-32.35872222222223
2008-BLG-190,BLG184.3,102074,18:04:29.28,-30:32:56.6,2454582.463,2008-04-25.96,19.551,0.963,1.369,0.341,1.0,19.163,19.163,271.12199999999996,-30.549055555555558
2008-BLG-191,BLG205.5,65252,17:56:44.15,-28:40:07.1,2454575.973,2008-04-19.47,13.339,0.538,2.053,0.781,1.0,19.545,19.545,269.1839583333333,-28.66863888888889
2008-BLG-192,BLG208.2,122140,18:05:49.68,-28:57:20.4,2454580.584,2008-04-24.08,8.149,1.151,1.252,0.244,1.0,17.622,17.622,271.45699999999994,-28.955666666666666
2008-BLG-193,BLG101.7,72403,17:52:32.23,-29:54:42.2,2454579.407,2008-04-22.91,12.110,0.267,3.844,1.462,1.0,19.587,19.587,268.1342916666667,-29.91172222222222
2008-BLG-194,BLG130.8,13510,17:45:36.05,-34:28:12.3,2454577.117,2008-04-20.62,4.073,0.192,5.273,1.805,1.0,19.282,19.282,266.4002083333333,-34.470083333333335
2008-BLG-195,BLG182.1,49257,17:58:12.06,-30:54:02.4,2454593.19,2008-05-06.69,14.563,0.469,2.304,0.906,1.0,17.944,17.944,269.55024999999995,-30.900666666666666
2008-BLG-196,BLG215.1,197876,18:01:20.79,-28:27:21.4,2454607.503,2008-05-21.00,22.087,0.057,17.459,3.105,0.954,17.238,17.289,270.33662499999997,-28.455944444444444
2008-BLG-197,BLG215.7,86434,17:59:35.53,-28:24:12.6,2454598.052,2008-05-11.55,44.324,0.187,5.404,1.832,1.0,19.589,19.589,269.89804166666664,-28.403499999999998
2008-BLG-198,BLG216.6,38973,18:02:21.85,-28:16:15.8,2454574.282,2008-04-17.78,4.632,0.167,6.060,1.956,1.0,19.067,19.067,270.5910416666667,-28.271055555555556
2008-BLG-199,BLG216.6,208795,18:02:37.94,-28:09:55.4,2454595.432,2008-05-08.93,10.404,0.023,44.389,4.118,0.852,14.884,15.057,270.6580833333333,-28.165388888888888
2008-BLG-200,BLG179.7,60482,17:48:49.77,-30:42:39.0,2454600.026,2008-05-13.53,24.919,0.855,1.468,0.417,1.0,17.975,17.975,267.207375,-30.710833333333333
2008-BLG-201,BLG148.2,66562,17:53:34.86,-33:07:06.5,2454582.379,2008-04-25.88,3.219,0.390,2.710,1.082,1.0,17.071,17.071,268.39525,-33.11847222222222
2008-BLG-202,BLG214.3,132888,17:58:18.88,-28:12:06.5,2454589.674,2008-05-03.17,65.209,1.472,1.140,0.142,1.0,17.92,17.92,269.5786666666666,-28.201805555555556
2008-BLG-203,BLG219.2,76827,18:10:49.00,-28:21:27.2,2454592.712,2008-05-06.21,18.264,1.096,1.281,0.269,1.0,18.43,18.43,272.70416666666665,-28.357555555555557
2008-BLG-204,BLG226.1,64700,18:07:57.45,-27:56:39.0,2454616.022,2008-05-29.52,43.871,0.865,1.458,0.409,0.319,15.638,16.877,271.989375,-27.944166666666668
2008-BLG-205,BLG103.1,76059,17:56:57.80,-30:19:32.5,2454597.996,2008-05-11.50,15.662,1.605,1.112,0.115,1.0,15.658,15.658,269.24083333333334,-30.325694444444444
2008-BLG-206,BLG130.7,29975,17:46:09.36,-34:19:27.6,2454601.324,2008-05-14.82,40.297,0.265,3.866,1.468,0.1,16.364,18.865,266.539,-34.324333333333335
2008-BLG-207,BLG148.4,78439,17:53:50.69,-32:48:46.5,2454594.974,2008-05-08.47,19.599,0.767,1.575,0.493,1.0,18.317,18.317,268.4612083333333,-32.812916666666666
2008-BLG-208,BLG171.2,117547,17:52:47.85,-31:15:12.8,2454626.348,2008-06-08.85,24.011,0.031,32.347,3.775,0.929,16.625,16.705,268.199375,-31.253555555555554
2008-BLG-209,BLG196.1,66264,18:04:49.84,-29:42:33.2,2454606.092,2008-05-19.59,19.549,0.032,31.061,3.731,0.789,17.528,17.784,271.2076666666666,-29.70922222222222
2008-BLG-210,BLG223.2,138877,17:59:22.97,-27:42:30.2,2454606.943,2008-05-20.44,41.843,0.012,84.519,4.817,0.306,17.66,18.947,269.84570833333333,-27.708388888888887
2008-BLG-211,BLG129.7,72884,17:42:49.96,-34:16:11.5,2454649.396,2008-07-01.90,24.875,0.413,2.573,1.026,1.0,17.353,17.353,265.70816666666667,-34.26986111111111
2008-BLG-212,BLG147.8,171101,17:49:23.68,-33:11:23.7,2454583.46,2008-04-26.96,7.416,1.782,1.084,0.088,1.0,17.146,17.146,267.34866666666665,-33.18991666666666
2008-BLG-213,BLG130.5,56416,17:45:37.18,-33:59:35.0,2454590.902,2008-05-04.40,13.076,0.563,1.981,0.742,1.0,19.167,19.167,266.4049166666666,-33.99305555555556
2008-BLG-214,BLG163.1,64301,17:52:49.12,-32:02:00.7,2454592.613,2008-05-06.11,12.514,0.783,1.554,0.478,1.0,18.715,18.715,268.20466666666664,-32.03352777777778
2008-BLG-215,BLG188.2,20121,17:59:37.87,-30:11:54.9,2454591.948,2008-05-05.45,6.557,0.100,10.028,2.503,0.824,18.528,18.738,269.90779166666664,-30.198583333333335
2008-BLG-216,BLG190.5,47475,18:03:17.63,-29:51:10.0,2454574.906,2008-04-18.41,9.651,0.391,2.701,1.079,1.0,18.244,18.244,270.8234583333333,-29.852777777777778
2008-BLG-217,BLG217.7,169252,18:04:47.42,-28:17:43.4,2454598.698,2008-05-12.20,11.488,1.325,1.181,0.181,1.0,17.207,17.207,271.19758333333334,-28.29538888888889
2008-BLG-218,BLG218.3,141097,18:08:26.18,-28:08:37.4,2454584.092,2008-04-27.59,7.163,0.000,2140.1,8.326,0.205,18.36,20.082,272.10908333333333,-28.143722222222223
2008-BLG-219,BLG241.5,18195,18:05:22.57,-26:19:46.9,2454607.151,2008-05-20.65,31.323,0.971,1.363,0.336,1.0,18.366,18.366,271.3440416666666,-26.329694444444446
2008-BLG-220,BLG138.1,77447,17:45:27.30,-33:49:03.7,2454587.568,2008-05-01.07,7.355,0.506,2.162,0.837,1.0,19.123,19.123,266.36375,-33.81769444444445
2008-BLG-221,BLG147.8,178330,17:49:38.48,-33:10:49.9,2454586.896,2008-04-30.40,9.516,0.168,6.014,1.948,1.0,19.284,19.284,267.4103333333333,-33.180527777777776
2008-BLG-222,BLG188.6,151217,17:58:56.98,-29:57:44.0,2454633.321,2008-06-15.82,36.721,0.938,1.390,0.358,1.0,17.381,17.381,269.7374166666666,-29.96222222222222
2008-BLG-223,BLG195.2,4901,17:53:55.65,-29:22:41.0,2454696.671,2008-08-18.17,211.089,0.298,3.467,1.350,0.092,16.31,18.897,268.481875,-29.378055555555555
2008-BLG-224,BLG196.1,58755,18:04:40.05,-29:42:22.7,2454599.506,2008-05-13.01,10.586,1.352,1.173,0.173,1.0,16.633,16.633,271.16687499999995,-29.706305555555556
2008-BLG-225,BLG215.7,184194,17:59:26.60,-28:19:33.4,2454609.627,2008-05-23.13,38.254,0.260,3.942,1.489,1.0,18.798,18.798,269.86083333333335,-28.325944444444445
2008-BLG-226,BLG216.2,91887,18:03:43.49,-28:23:00.4,2454589.898,2008-05-03.40,5.230,0.571,1.958,0.729,1.0,18.671,18.671,270.9312083333333,-28.383444444444443
2008-BLG-227,BLG216.2,116920,18:02:58.57,-28:20:00.6,2454584.746,2008-04-28.25,15.501,0.582,1.930,0.714,1.0,17.839,17.839,270.74404166666665,-28.333499999999997
2008-BLG-228,BLG142.4,91083,17:57:02.82,-33:21:38.3,2454611.767,2008-05-25.27,38.576,1.692,1.097,0.101,1.0,16.314,16.314,269.26174999999995,-33.36063888888889
2008-BLG-229,BLG188.1,147926,17:59:26.24,-30:14:01.2,2454665.78,2008-07-18.28,53.994,0.139,7.240,2.149,0.635,17.195,17.688,269.8593333333333,-30.233666666666668
2008-BLG-230,BLG188.3,82172,17:59:45.74,-30:00:42.8,2454590.867,2008-05-04.37,9.895,0.494,2.205,0.859,1.0,19.605,19.605,269.94058333333334,-30.01188888888889
2008-BLG-231,BLG194.6,71717,17:50:12.17,-29:17:36.1,2454606.827,2008-05-20.33,39.822,0.039,25.736,3.526,1.0,20.17,20.17,267.55070833333326,-29.293361111111114
