Name,MOA phase,Field,Chip,RA,Dec,Remarks,RA_deg,Dec_deg
MOA-2007-BLG-291,MOA-2,gb4,1,17:51:38.942,-30:25:24.21,,267.91225833333334,-30.423391666666667
MOA-2007-BLG-292,MOA-2,gb13,5,18:03:51.329,-29:59:37.36,,270.9638708333333,-29.99371111111111
MOA-2007-BLG-293,MOA-2,gb13,6,18:07:19.693,-29:52:17.95,,271.83205416666664,-29.87165277777778
MOA-2007-BLG-294,MOA-2,gb15,8,18:08:46.836,-25:51:58.36,,272.19514999999996,-25.866211111111113
MOA-2007-BLG-295,MOA-2,gb20,6,18:19:23.471,-24:25:43.61,,274.8477958333333,-24.428780555555555
MOA-2007-BLG-296,MOA-2,gb4,9,17:54:25.900,-30:43:00.48,,268.6079166666666,-30.7168
MOA-2007-BLG-297,MOA-2,gb2,6,17:57:16.696,-35:07:12.35,,269.3195666666666,-35.12009722222222
MOA-2007-BLG-298,MOA-2,gb10,7,18:00:08.047,-27:55:43.56,,270.03352916666665,-27.928766666666668
MOA-2007-BLG-299,MOA-2,gb3,8,17:56:25.778,-32:44:46.78,,269.1074083333333,-32.74632777777778
MOA-2007-BLG-300,MOA-2,gb19,3,18:16:16.215,-25:20:17.29,,274.06756249999995,-25.33813611111111
MOA-2007-BLG-301,MOA-2,gb14,1,18:04:02.902,-26:51:55.97,,271.0120916666666,-26.865547222222222
MOA-2007-BLG-302,MOA-2,gb19,9,18:20:21.095,-25:06:20.29,,275.0878958333333,-25.105636111111114
MOA-2007-BLG-303,MOA-2,gb5,6,17:54:45.244,-29:56:28.86,,268.68851666666666,-29.94135
MOA-2007-BLG-304,MOA-2,gb5,7,17:56:56.026,-29:45:06.84,,269.23344166666664,-29.7519
MOA-2007-BLG-305,MOA-2,gb1,9,17:47:38.619,-33:59:17.45,,266.9109125,-33.98818055555556
MOA-2007-BLG-306,MOA-2,gb9,6,18:00:50.851,-30:05:31.71,,270.2118791666667,-30.092141666666667
MOA-2007-BLG-307,MOA-2,gb10,9,18:00:22.108,-27:17:08.23,,270.09211666666664,-27.285619444444446
MOA-2007-BLG-308,MOA-2,gb3,9,17:56:26.019,-32:14:14.32,,269.1084125,-32.23731111111111
MOA-2007-BLG-309,MOA-2,gb5,7,17:54:58.319,-29:38:20.73,,268.7429958333333,-29.639091666666666
MOA-2007-BLG-310,MOA-2,gb18,3,18:09:18.090,-25:52:20.96,,272.32537499999995,-25.87248888888889
MOA-2007-BLG-311,MOA-2,gb2,10,17:54:23.795,-33:38:23.16,,268.5991458333333,-33.63976666666667
MOA-2007-BLG-312,MOA-2,gb4,7,17:55:31.208,-31:29:54.47,,268.8800333333333,-31.49846388888889
MOA-2007-BLG-313,MOA-2,gb2,3,17:53:35.530,-34:30:19.09,,268.39804166666664,-34.50530277777778
MOA-2007-BLG-314,MOA-2,gb13,3,18:03:08.102,-29:10:18.14,,270.7837583333333,-29.171705555555558
MOA-2007-BLG-315,MOA-2,gb13,1,18:03:11.415,-28:24:47.20,,270.79756249999997,-28.41311111111111
MOA-2007-BLG-316,MOA-2,gb9,2,17:57:05.765,-29:00:57.22,,269.2740208333333,-29.015894444444445
MOA-2007-BLG-317,MOA-2,gb16,1,18:10:14.254,-28:23:13.17,,272.55939166666667,-28.386991666666667
MOA-2007-BLG-318,MOA-2,gb9,8,18:02:44.420,-29:17:41.21,,270.6850833333333,-29.29478055555556
MOA-2007-BLG-319,MOA-2,gb9,8,18:01:51.125,-29:14:32.11,,270.4630208333333,-29.24225277777778
MOA-2007-BLG-320,MOA-2,gb20,6,18:20:57.127,-24:24:10.21,,275.2380291666666,-24.40283611111111
MOA-2007-BLG-321,MOA-2,gb9,5,17:58:46.754,-30:00:41.19,,269.6948083333333,-30.011441666666666
MOA-2007-BLG-322,MOA-2,gb6,7,17:56:43.659,-27:49:10.59,,269.18191249999995,-27.819608333333335
MOA-2007-BLG-323,MOA-2,gb8,4,17:58:57.990,-31:28:54.80,,269.74162499999994,-31.481888888888886
MOA-2007-BLG-324,MOA-2,gb5,2,17:53:37.961,-28:44:20.03,,268.40817083333326,-28.738897222222224
MOA-2007-BLG-325,MOA-2,gb5,3,17:52:01.952,-29:19:16.81,,268.0081333333333,-29.321336111111112
MOA-2007-BLG-326,MOA-2,gb2,6,17:55:19.272,-35:20:04.90,,268.83029999999997,-35.334694444444445
MOA-2007-BLG-327,MOA-2,gb6,7,17:55:44.952,-27:42:47.23,,268.9373,-27.713119444444445
